Year,Quarter,Ticker,CIKs,CompanyName,InterestRateChange,SPXCloseChange,DJCloseChange,CPI,RealGDP,InflationRate,DilutedEPS,FreeCashFlow,NetIncome,OperatingCashFlow,TotalRevenue,Polarity,Subjectivity,ClosePriceNextQuarter,YearNext,QuarterNext,LogClosePriceNextQuarter,LogPredictedPrice
2005,Q4,AAPL,320193,Apple Inc.,0.0407124681933841,0.0158527355734409,0.0140793096596553,19.9,4107.38,3.39,0.023,201000000.0,565000000,283000000.0,5749000000.0,0.06058902,0.3576957036265541,2.240000009536743,2006,Q1,0.8064758701244231,0.9063525832183976
2006,Q1,AAPL,320193,Apple Inc.,0.2224938875305624,0.037315047,0.036558899,19.9,4003.48,3.23,0.017,-318000000.0,410000000,-125000000.0,4359000000.0,0.064221564,0.3634518338218802,2.0453569889068604,2006,Q2,0.7155723409623924,0.5892341074264924
2006,Q2,AAPL,320193,Apple Inc.,0.01,-0.019052106,0.003681593,19.9,4116.72,3.23,0.019,770000000.0,472000000,1007000000.0,4370000000.0,0.053036126,0.3516092116064642,2.749285936355591,2006,Q3,1.0113412184540553,0.9653833418613589
2006,Q3,AAPL,320193,Apple Inc.,0.0574257425742574,0.051684774,0.047429557,19.9,4111.95,3.23,0.03,910000000.0,542000000,1055000000.0,4837000000.0,0.053036126,0.3516092116064642,3.0299999713897705,2006,Q4,1.1085626100789578,1.0355021371870436
2006,Q4,AAPL,320193,Apple Inc.,-0.031835206,0.061721002,0.067135483,19.9,4201.0,3.23,0.041,1556000000.0,1004000000,1813000000.0,7115000000.0,0.058955681,0.3519494291118276,3.318213939666748,2007,Q1,1.199426668190733,1.2996884176511454
2007,Q1,AAPL,320193,Apple Inc.,0.0251450676982591,0.001804978,-0.008729735,19.9,4063.75,2.85,0.031,528000000.0,770000000,734000000.0,5264000000.0,0.055105144,0.3557171918447787,4.3585710525512695,2007,Q2,1.4721442634018382,0.850253117952191
2007,Q2,AAPL,320193,Apple Inc.,0.001886792,0.058056388,0.085335934,19.9,4184.41,2.85,0.033,938000000.0,818000000,1227000000.0,5410000000.0,0.051151417,0.3483872364571366,5.4810709953308105,2007,Q3,1.7013005189687438,1.3140631185161489
2007,Q3,AAPL,320193,Apple Inc.,-0.13747646,0.0155652376359464,0.036320665,19.9,4208.61,2.85,0.048,1462000000.0,904000000,1696000000.0,6217000000.0,0.052626641,0.346584545,7.074285984039307,2007,Q4,1.9564665174525926,1.3247530786111867
2007,Q4,AAPL,320193,Apple Inc.,-0.37804878,-0.050858413,-0.058401212,19.9,4305.67,2.85,0.063,2555000000.0,1581000000,2787000000.0,9608000000.0,0.052626641,0.346584545,5.125,2008,Q1,1.634130525024472,1.570142050013815
2008,Q1,AAPL,320193,Apple Inc.,-0.179738562,-0.099199106,-0.075532876,19.9,4182.54,3.84,0.041,978000000.0,1045000000,1193000000.0,7512000000.0,0.054338649,0.3296050566586562,5.980000019073486,2008,Q2,1.7884205711520866,1.2885324103134317
2008,Q2,AAPL,320193,Apple Inc.,0.037815126,-0.06581617,-0.103075146,19.9,4226.59,3.84,0.043,991000000.0,1072000000,1321000000.0,7464000000.0,0.04925269,0.3275940621749174,4.059286117553711,2008,Q3,1.4010071250383374,1.5009291473181396
2008,Q3,AAPL,320193,Apple Inc.,-0.037914692,-0.092263271,-0.046704257,19.9,4192.4,3.84,0.0535,3873000000.0,1136000000,4295000000.0,7895000000.0,0.051102597,0.3293881609960224,3.0482139587402344,2008,Q4,1.11455583179783,1.3274288575491213
2008,Q4,AAPL,320193,Apple Inc.,-0.87826087,-0.222047095,-0.189702402,19.9,4179.96,3.84,0.064,3585000000.0,2255000000,3938000000.0,11880000000.0,0.051102597,0.3293881609960224,3.754286050796509,2009,Q1,1.3228981341948658,1.422704401219982
2009,Q1,AAPL,320193,Apple Inc.,0.1428571428571427,-0.116667589,-0.133023943,19.9,3976.81,-0.36,0.064,725000000.0,1620000000,841000000.0,9084000000.0,0.05983268,0.3534677761228151,5.086785793304443,2009,Q2,1.6266461563054087,1.5265901810887148
2009,Q2,AAPL,320193,Apple Inc.,0.375,0.1334516940375795,0.088306535,19.9,4060.38,-0.36,0.048,1998000000.0,1828000000,2270000000.0,9734000000.0,0.059816284,0.3357329632102092,6.619643211364746,2009,Q3,1.890041472932261,1.790434079066149
2009,Q3,AAPL,320193,Apple Inc.,-0.65,0.1448561186141465,0.142075667,19.9,4102.85,-0.36,0.065,2638000000.0,1665000000,3110000000.0,9870000000.0,0.076295775,0.3852731911022231,7.526071071624756,2009,Q4,2.0183731356058954,1.8604178523526218
2009,Q4,AAPL,320193,Apple Inc.,-0.545454545,0.082779045,0.096618251,25.09,4209.06,-0.36,0.131,5400000000.0,3378000000,5781000000.0,15683000000.0,0.076295775,0.3852731911022231,8.392856598,2010,Q1,2.127380939049804,2.2717117468374566
2010,Q1,AAPL,320193,Apple Inc.,0.7999999999999998,0.0487220877051386,0.041098767,24.97,4055.06,1.64,0.119,2029000000.0,3074000000,2330000000.0,13499000000.0,0.087491913,0.3883747590613545,8.983214378356934,2010,Q2,2.1953577668578808,1.97715910403043
2010,Q2,AAPL,320193,Apple Inc.,-0.470588235,-0.125108225,-0.10552234,25.14,4188.71,1.64,0.125,4175000000.0,3253000000,4801000000.0,15700000000.0,0.095534557,0.3898007250233359,10.133929252624512,2010,Q3,2.315889125839741,2.2162132442042477
2010,Q3,AAPL,320193,Apple Inc.,-0.117647059,0.1107974731596213,0.1084527866854762,25.33,4229.41,1.64,0.1775,4870000000.0,4308000000,5683000000.0,20343000000.0,0.082149735,0.4033653653098157,11.520000457763672,2010,Q4,2.4440846950041744,2.343999290060406
2010,Q4,AAPL,320193,Apple Inc.,-0.35,0.097187326,0.069053749,25.48,4316.57,1.64,0.23,8510000000.0,6004000000,9773000000.0,26741000000.0,0.082149735,0.4033653653098157,12.446785926818848,2011,Q1,2.521462431093632,2.607343000471799
2011,Q1,AAPL,320193,Apple Inc.,-0.230769231,0.0542206036703665,0.064108776,25.46,4155.64,3.16,0.229,5563000000.0,5987000000,6219000000.0,24667000000.0,0.070904601,0.3835309147305541,11.988213539123535,2011,Q2,2.483923962035473,2.3842951947247917
2011,Q2,AAPL,320193,Apple Inc.,-0.363636364,-0.008833617,0.003039578,25.33,4251.8,3.16,0.278,10146000000.0,7308000000,11108000000.0,28571000000.0,0.116852479,0.417137848,13.618571281433104,2011,Q3,2.6114343966459326,2.7112834826080885
2011,Q3,AAPL,320193,Apple Inc.,-0.25,-0.15544873,-0.132672694,25.72,4273.16,3.16,0.252,5858000000.0,6623000000,10429000000.0,28270000000.0,0.066644604,0.3436032200442708,14.464285850524902,2011,Q4,2.671682566350341,2.5713974484993427
2011,Q4,AAPL,320193,Apple Inc.,-0.333333333,0.1115235721482737,0.1195028487966148,26.0,4371.81,3.16,0.495,16125000000.0,13064000000,17554000000.0,46333000000.0,0.066644604,0.3436032200442708,21.412500381469727,2012,Q1,3.06397488146552,2.9637951372822204
2012,Q1,AAPL,320193,Apple Inc.,1.2499999999999998,0.1199666030534352,0.081397595,26.18,4279.82,2.07,0.439,12468000000.0,11622000000,13977000000.0,39186000000.0,0.069370688,0.3508578410100373,20.85714340209961,2012,Q2,3.037696498781086,2.937715714890394
2012,Q2,AAPL,320193,Apple Inc.,0.0,-0.03287965,-0.02512481,26.22,4345.71,2.07,0.333,7226000000.0,8824000000,10189000000.0,35023000000.0,0.079733687,0.3739945595590421,23.825000762939453,2012,Q3,3.1707354815629074,3.023767960057956
2012,Q3,AAPL,320193,Apple Inc.,0.0,0.057636401,0.043248145,26.6,4376.68,2.07,0.31,5635000000.0,8223000000,9136000000.0,35966000000.0,0.065816783,0.3518787507378814,19.00607109069824,2012,Q4,2.944758459216635,2.9727307765966
2012,Q4,AAPL,320193,Apple Inc.,-0.4,-0.012668831,-0.030408188,26.32,4440.56,2.07,0.493,20971000000.0,13078000000,23426000000.0,54512000000.0,0.065816783,0.3518787507378814,15.809286117553713,2013,Q1,2.7605974963469944,2.86074591792167
2013,Q1,AAPL,320193,Apple Inc.,0.0,0.1002671453312672,0.1125140604419673,26.44,4320.26,1.46,0.36,10205000000.0,9547000000,12504000000.0,43603000000.0,0.061840699,0.3579044963931935,14.161786079406738,2013,Q2,2.650547215862477,2.7506672759198563
2013,Q2,AAPL,320193,Apple Inc.,-0.5625,0.0282363635199753,0.02310804,25.73,4419.14,1.46,0.267,5812000000.0,6900000000,7828000000.0,35323000000.0,0.059425352,0.3503564587071796,17.02678680419922,2013,Q3,2.8347877983170227,2.857238762543327
2013,Q3,AAPL,320193,Apple Inc.,-0.4,0.0412332193986228,0.0103312462938132,25.85,4486.44,1.46,0.295,7602000000.0,7512000000,9908000000.0,37472000000.0,0.075272874,0.3924306155921158,20.03642845153809,2013,Q4,2.9975520393522848,3.0491246950943176
2013,Q4,AAPL,320193,Apple Inc.,-0.125,0.090477876,0.091165571,25.83,4586.32,1.46,0.518,20626000000.0,13072000000,22670000000.0,57594000000.0,0.075272874,0.3924306155921158,19.169286727905273,2014,Q1,2.9533093486399906,3.053407263056892
2014,Q1,AAPL,320193,Apple Inc.,-0.142857143,0.0129736631392153,-0.007178768,26.24,4403.18,1.62,0.415,12052000000.0,10223000000,13538000000.0,45646000000.0,0.082377925,0.3739449890493214,23.232500076293945,2014,Q2,3.145552163733289,3.045142235188253
2014,Q2,AAPL,320193,Apple Inc.,0.1249999999999999,0.039623022,0.0177824312071716,26.64,4532.34,1.62,0.32,7824000000.0,7748000000,10255000000.0,37432000000.0,0.079094262,0.3640745662811259,25.1875,2014,Q3,3.226347839706902,3.2007756422834586
2014,Q3,AAPL,320193,Apple Inc.,-0.3,-0.000521963,0.00512088,26.48,4616.61,1.62,0.355,9398000000.0,8467000000,13250000000.0,42123000000.0,0.083503164,0.3798374644113801,27.594999313354492,2014,Q4,3.317634572008496,3.217227183611668
2014,Q4,AAPL,320193,Apple Inc.,-0.333333333,0.057929461,0.060599677,27.19,4709.58,1.62,0.765,30457000000.0,18024000000,33722000000.0,74599000000.0,0.083503164,0.3798374644113801,31.107500076293945,2015,Q1,3.437448950120239,3.3369949524184412
2015,Q1,AAPL,320193,Apple Inc.,0.0,0.004366409,-0.002634226,26.63,4562.38,0.12,0.583,16605000000.0,13569000000,19081000000.0,58010000000.0,0.078779501,0.3611635644479103,31.357500076293945,2015,Q2,3.4454534753497295,3.1776801871520854
2015,Q2,AAPL,320193,Apple Inc.,-0.333333333,0.001660444,-0.00444509,26.61,4696.82,0.12,0.463,12899000000.0,10677000000,14988000000.0,49605000000.0,0.075547444,0.3554182395510263,27.575000762939453,2015,Q3,3.316909592807361,3.2168319392280016
2015,Q3,AAPL,320193,Apple Inc.,-0.461538462,-0.075762244,-0.082960776,26.2,4741.07,0.12,0.49,9817000000.0,11124000000,13475000000.0,51501000000.0,0.090701396,0.3786469807532867,26.315000534057617,2015,Q4,3.2701391391005403,3.3793109601935623
2015,Q4,AAPL,320193,Apple Inc.,0.5384615384615385,0.062438274,0.070859101,26.53,4799.35,0.12,0.82,23457000000.0,18361000000,27463000000.0,75872000000.0,0.090701396,0.3786469807532867,27.247499465942383,2016,Q1,3.3049617541810865,3.404776617654566
2016,Q1,AAPL,320193,Apple Inc.,0.2499999999999999,0.007730168,0.0149245080209331,26.73,4641.85,1.26,0.475,9002000000.0,10516000000,11601000000.0,50557000000.0,0.084287047,0.3590129611796334,23.899999618530273,2016,Q2,3.173878442976388,3.413628477273847
2016,Q2,AAPL,320193,Apple Inc.,-0.189189189,0.0125821360684683,0.007713254,26.86,4768.31,1.26,0.355,7729000000.0,7796000000,10634000000.0,42358000000.0,0.080893996,0.3583912943925568,28.262500762939453,2016,Q3,3.3415358645988498,3.4413808942074544
2016,Q3,AAPL,320193,Apple Inc.,-0.292682927,0.0310611284148458,0.019988445,26.97,4819.18,1.26,0.418,12088000000.0,9014000000,16126000000.0,46852000000.0,0.090278617,0.368378641,28.954999923706055,2016,Q4,3.3657428980428388,3.3361572258179453
2016,Q4,AAPL,320193,Apple Inc.,0.8965517241379313,0.032542073,0.079442762,26.91,4912.33,1.26,0.84,23814000000.0,17891000000,27234000000.0,78351000000.0,0.090278617,0.368378641,35.915000915527344,2017,Q1,3.581155061018268,3.4808727723471637
2017,Q1,AAPL,320193,Apple Inc.,0.4909090909090907,0.055336939,0.0455719389149202,27.18,4698.37,2.13,0.525,9681000000.0,11029000000,12570000000.0,52896000000.0,0.08040049,0.3717095510295977,36.005001068115234,2017,Q2,3.583657847366577,3.573781437892641
2017,Q2,AAPL,320193,Apple Inc.,0.2926829268292684,0.025686497,0.0332189271565612,27.29,4893.23,2.13,0.418,6395000000.0,8717000000,8672000000.0,45408000000.0,0.075686731,0.3699061823952106,38.529998779296875,2017,Q3,3.651437126956178,3.8677549481646776
2017,Q3,AAPL,320193,Apple Inc.,0.0,0.0395929702361549,0.049436922,27.43,4950.88,2.13,0.518,11656000000.0,10714000000,15656000000.0,52579000000.0,0.082985892,0.3951507712616413,42.307498931884766,2017,Q4,3.7449643500536287,3.689288936636114
2017,Q4,AAPL,320193,Apple Inc.,0.2547169811320754,0.061225867,0.1032859051224521,27.42,5069.62,2.13,0.973,25483000000.0,20065000000,28293000000.0,88293000000.0,0.082985892,0.3951507712616413,41.94499969482422,2018,Q1,3.73635922902264,3.6361725632320603
2018,Q1,AAPL,320193,Apple Inc.,0.2556390977443608,-0.012245615,-0.02492433,27.5,4890.82,2.44,0.683,10935000000.0,13822000000,15130000000.0,61137000000.0,0.092889031,0.3743072213718054,46.27750015258789,2018,Q2,3.83465588514894,3.840014187596068
2018,Q2,AAPL,320193,Apple Inc.,0.1437125748502994,0.0293463896367484,0.006982501,27.73,5039.98,2.44,0.585,11221000000.0,11519000000,14488000000.0,53265000000.0,0.099429464,0.3869600174569766,56.435001373291016,2018,Q3,4.0330895577416195,3.9332043166328536
2018,Q3,AAPL,320193,Apple Inc.,0.1413612565445027,0.071958563,0.090101894,28.08,5092.53,2.44,0.728,16482000000.0,14125000000,19523000000.0,62900000000.0,0.1062519476910671,0.3862807715729598,39.435001373291016,2018,Q4,3.6746537816741203,3.6816475902573997
2018,Q4,AAPL,320193,Apple Inc.,0.1009174311926604,-0.142837116,-0.124712912,26.61,5170.56,2.44,1.045,23335000000.0,19965000000,26690000000.0,84310000000.0,0.1062519476910671,0.3862807715729598,47.48749923706055,2019,Q1,3.8604665024476326,3.76029018585693
2003,Q1,ABT,1800,Abbott Laboratories,0.1896551724137931,-0.066939485,-0.071494461,19.9,3582.77,2.27,0.51,658102000.0,800981000,943016000.0,4580463000.0,0.040099761,0.3403635387214576,19.643903732299805,2003,Q2,2.977767047549016,2.9384313595275606
2003,Q2,ABT,1800,Abbott Laboratories,0.1240310077519379,0.1351458391575808,0.1134567390264516,19.9,3680.93,2.27,0.16,757885000.0,246643000,995605000.0,4126259000.0,0.040099761,0.3403635387214576,19.100732803344727,2003,Q3,2.9497267009838657,2.8497143750879124
2003,Q3,ABT,1800,Abbott Laboratories,0.054054054,0.013895675543611,0.025894403,19.9,3753.43,2.27,0.48,750615000.0,761217000,1035511000.0,4247855000.0,0.040085655,0.3646940990166177,20.918781280517575,2003,Q4,3.040647381310356,2.94087843872633
2003,Q4,ABT,1800,Abbott Laboratories,-0.153153153,0.092023335,0.1039918894943605,19.9,3860.18,2.27,0.5,336261000.0,944392000,646728000.0,5530582000.0,0.026022423,0.322385122,18.44982528686523,2004,Q1,2.9150549008951,3.014757205641019
2004,Q1,ABT,1800,Abbott Laboratories,0.1170212765957448,0.0128516440031656,-0.009204203,19.9,3741.64,2.68,0.52,991748000.0,822909000,1296241000.0,4640855000.0,0.026022423,0.322385122,19.55664825439453,2004,Q2,2.9733152927860655,2.9706674616261033
2004,Q2,ABT,1800,Abbott Laboratories,0.3398058252427183,0.007657861,0.005991326,19.9,3837.59,2.68,0.4,1186023000.0,634258000,1443317000.0,4703049000.0,0.041845391,0.3422402336462008,20.32432746887207,2004,Q3,3.011818566024043,2.994078771178168
2004,Q3,ABT,1800,Abbott Laboratories,0.3857142857142858,-0.012719897,-0.024568035,19.9,3879.62,2.68,0.51,493861000.0,804079000,865782000.0,4681669000.0,0.024528085,0.3291960546228839,22.38266944885254,2004,Q4,3.108286974092962,3.069522016550474
2004,Q4,ABT,1800,Abbott Laboratories,0.0591397849462364,0.071073796,0.057920168,19.9,3990.91,2.68,0.52,444678000.0,974605000,802603000.0,5654443000.0,0.025942494,0.3754944145892412,22.368276596069336,2005,Q1,3.107643731679046,3.063079630104434
2005,Q1,ABT,1800,Abbott Laboratories,0.5025380710659898,-0.025851541,-0.025897222,19.9,3867.08,3.39,0.53,199584000.0,837888000,533727000.0,5382679000.0,0.025942494,0.3754944145892412,23.514997482299805,2005,Q2,3.157638408329168,3.057402287192268
2005,Q2,ABT,1800,Abbott Laboratories,0.1837455830388692,0.0156958701360705,-0.012430437,19.9,3972.82,3.39,0.56,1564821000.0,877052000,1864530000.0,5523800000.0,0.022791803,0.3261014043826543,20.34351921081543,2005,Q3,3.012762394868447,3.0491416340245743
2005,Q3,ABT,1800,Abbott Laboratories,0.1696428571428572,0.0287749907906633,0.0257447997950199,19.9,4040.69,3.39,0.44,1162919000.0,680709000,1424911000.0,5383995000.0,0.010087226,0.308201064,18.918514251708984,2005,Q4,2.940141032617895,3.040276688950221
2005,Q4,ABT,1800,Abbott Laboratories,0.0407124681933841,0.0158527355734409,0.0140793096596553,19.9,4107.38,3.39,0.5,1039599000.0,976416000,1351248000.0,6047334000.0,-0.002211683,0.294632858,20.377105712890625,2006,Q1,3.0144120016588354,3.0522768752364855
2006,Q1,ABT,1800,Abbott Laboratories,0.2224938875305624,0.037315047,0.036558899,19.9,4003.48,3.23,0.56,886867000.0,864883000,1183119000.0,4580465000.0,-0.002211683,0.294632858,20.92407799,2006,Q2,3.0409005528002138,3.0073327539025483
2006,Q2,ABT,1800,Abbott Laboratories,0.01,-0.019052106,0.003681593,19.9,4116.72,3.23,0.4,1197584000.0,612244000,1572690000.0,5501124000.0,0.049889275,0.3339576983974445,23.299087524414062,2006,Q3,3.148414197762487,3.1676721955764267
2006,Q3,ABT,1800,Abbott Laboratories,0.0574257425742574,0.051684774,0.047429557,19.9,4111.95,3.23,0.46,932550000.0,715842000,1284889000.0,5573770000.0,0.087496594,0.3638133701070586,23.371057510375977,2006,Q4,3.151498398291893,3.2013127935841976
2006,Q4,ABT,1800,Abbott Laboratories,-0.031835206,0.061721002,0.067135483,19.9,4201.0,3.23,0.455,974422000.0,-476214000,1288543000.0,6217969000.0,0.024410645,0.3178044576385953,26.77284049987793,2007,Q1,3.287387959481806,3.1873381651719375
2007,Q1,ABT,1800,Abbott Laboratories,0.0251450676982591,0.001804978,-0.008729735,19.9,4063.75,2.85,0.45,727168000.0,697537000,1056287000.0,5945561000.0,0.024410645,0.3178044576385953,25.69329071044922,2007,Q2,3.2462298959683724,3.1460301089091587
2007,Q2,ABT,1800,Abbott Laboratories,0.001886792,0.058056388,0.085335934,19.9,4184.41,2.85,0.63,1028724000.0,988744000,1539455000.0,6370620000.0,0.049742894,0.3297115815530447,25.72687530517578,2007,Q3,3.2475361772235516,3.2513155678685868
2007,Q3,ABT,1800,Abbott Laboratories,-0.13747646,0.0155652376359464,0.036320665,19.9,4208.61,2.85,0.46,1150432000.0,717005000,1538010000.0,6376706000.0,0.048478675,0.327850236,26.94076919555664,2007,Q4,3.293640722748207,3.250296946332962
2007,Q4,ABT,1800,Abbott Laboratories,-0.37804878,-0.050858413,-0.058401212,19.9,4305.67,2.85,0.53,621312000.0,1203027000,1050091000.0,7221351000.0,0.048220848,0.3262620931094691,26.46096992492676,2008,Q1,3.2756708142858377,3.324052932703434
2008,Q1,ABT,1800,Abbott Laboratories,-0.179738562,-0.099199106,-0.075532876,19.9,4182.54,3.84,0.6,972168000.0,937867000,1305151000.0,6765603000.0,0.048220848,0.3262620931094691,25.41500663757324,2008,Q2,3.23533981206638,3.186863204195398
2008,Q2,ABT,1800,Abbott Laboratories,0.037815126,-0.06581617,-0.103075146,19.9,4226.59,3.84,0.85,1388131000.0,1322014000,1758475000.0,7314021000.0,0.08232146,0.3506219093365087,27.62688446044922,2008,Q3,3.3187893732741953,3.2969174626681754
2008,Q3,ABT,1800,Abbott Laboratories,-0.037914692,-0.092263271,-0.046704257,19.9,4192.4,3.84,0.69,2378606000.0,1084612000,2698411000.0,7497660000.0,0.008363984,0.311961665,25.60692596435547,2008,Q4,3.242862860377323,3.1425971667807255
2008,Q4,ABT,1800,Abbott Laboratories,-0.87826087,-0.222047095,-0.189702402,19.9,4179.96,3.84,0.805,1317562000.0,1536226000,1582154000.0,7950268000.0,0.001617686,0.3062027195777193,22.886459350585938,2009,Q1,3.130545440942282,3.230590202711217
2009,Q1,ABT,1800,Abbott Laboratories,0.1428571428571427,-0.116667589,-0.133023943,19.9,3976.81,-0.36,0.92,446567000.0,1438637000,698718000.0,6718368000.0,0.001617686,0.3062027195777193,22.56979179382324,2009,Q2,3.1166123658787526,3.2165548514747777
2009,Q2,ABT,1800,Abbott Laboratories,0.375,0.1334516940375795,0.088306535,19.9,4060.38,-0.36,0.83,1451061000.0,1288105000,1713801000.0,7494876000.0,0.036190246,0.366987656,23.735706329345703,2009,Q3,3.166980510538613,3.0669620587565714
2009,Q3,ABT,1800,Abbott Laboratories,-0.65,0.1448561186141465,0.142075667,19.9,4102.85,-0.36,0.95,2701314000.0,1480367000,3030024000.0,7761336000.0,0.029422999,0.3048875444490543,25.904401779174805,2009,Q4,3.254412907129032,3.154408579578004
2009,Q4,ABT,1800,Abbott Laboratories,-0.545454545,0.082779045,0.096618251,25.09,4209.06,-0.36,0.795,1587170000.0,1538729000,1832617000.0,8790127000.0,0.075487286,0.3289102207482973,25.275863647460938,2010,Q1,3.2298499343508813,3.247431035517754
2010,Q1,ABT,1800,Abbott Laboratories,0.7999999999999998,0.0487220877051386,0.041098767,24.97,4055.06,1.64,0.64,1277609000.0,1003015000,1522752000.0,7698354000.0,0.075487286,0.3289102207482973,22.445043563842773,2010,Q2,3.111069813147261,3.211285769781244
2010,Q2,ABT,1800,Abbott Laboratories,-0.470588235,-0.125108225,-0.10552234,25.14,4188.71,1.64,0.83,2074783000.0,1291650000,2348297000.0,8826014000.0,0.068831797,0.3843198614474378,25.06475257873535,2010,Q3,3.221462579481243,3.3215790366184628
2010,Q3,ABT,1800,Abbott Laboratories,-0.117647059,0.1107974731596213,0.1084527866854762,25.33,4229.41,1.64,0.57,2343328000.0,890660000,2548413000.0,8674505000.0,0.064770562,0.3428472398971584,22.987218856811523,2010,Q4,3.1349383595918763,3.235060181900277
2010,Q4,ABT,1800,Abbott Laboratories,-0.35,0.097187326,0.069053749,25.48,4316.57,1.64,0.56,2025186000.0,1440847000,2316519000.0,9967848000.0,0.061841347,0.339895802,23.534189224243164,2011,Q1,3.158454224471857,3.3013798354814345
2011,Q1,ABT,1800,Abbott Laboratories,-0.230769231,0.0542206036703665,0.064108776,25.46,4155.64,3.16,0.55,1619333000.0,863818000,2011146000.0,9040850000.0,0.061841347,0.339895802,25.24707603,2011,Q2,3.2287103482238604,3.1969391184972817
2011,Q2,ABT,1800,Abbott Laboratories,-0.363636364,-0.008833617,0.003039578,25.33,4251.8,3.16,1.23,2130195000.0,1942782000,2503152000.0,9616291000.0,0.061851828,0.3467828752042999,24.53697204589844,2011,Q3,3.2001810431570807,3.3002949469050455
2011,Q3,ABT,1800,Abbott Laboratories,-0.25,-0.15544873,-0.132672694,25.72,4273.16,3.16,0.19,2602435000.0,303181000,3054430000.0,9816665000.0,0.052991955,0.3089406790963922,26.979154586791992,2011,Q4,3.2950645154773963,3.3369386538274584
2011,Q4,ABT,1800,Abbott Laboratories,-0.333333333,0.1115235721482737,0.1195028487966148,26.0,4371.81,3.16,0.485,1126614000.0,1618668000,1401349000.0,10377453000.0,0.073110649,0.3300618209348877,29.40694236755371,2012,Q1,3.381230781419973,3.4344787494930356
2012,Q1,ABT,1800,Abbott Laboratories,1.2499999999999998,0.1199666030534352,0.081397595,26.18,4279.82,2.07,0.78,1771600000.0,1242124000,2224930000.0,5283685000.0,0.073110649,0.3300618209348877,30.932706832885746,2012,Q2,3.4318140976717175,3.355114196053414
